contig_id,real_len,pred_class,reliability,prob_bacteria,prob_phage,prob_eukarya,prob_archaea,prob_plasmid,prob_virus
NC_078461.1,1859,phage,0.9774687886238098,0.099714,0.637411,0.078819,0.025813,0.128617,0.029627
NC_078464.1,1811,phage,0.9992085099220276,0.047891,0.428569,0.369029,0.038718,0.074009,0.041784
NC_078483.1,1788,virus,0.9952640533447266,0.028303,0.051947,0.178000,0.037049,0.022393,0.682309
NC_078523.1,1495,virus,0.9999222755432129,0.039660,0.091003,0.042866,0.128540,0.027082,0.670848
NC_078525.1,1097,virus,0.9999058246612549,0.036886,0.062948,0.143018,0.170151,0.022905,0.564092
NC_078526.1,1605,virus,0.996582567691803,0.019578,0.233382,0.206583,0.029050,0.032960,0.478447
NC_078527.1,1875,eukarya,0.9999514818191528,0.061064,0.099572,0.504811,0.034343,0.022963,0.277247
NC_078562.1,1078,virus,0.9999301433563232,0.031552,0.153093,0.250010,0.098116,0.042821,0.424407
NC_078565.1,1002,archaea,0.9998210072517395,0.017450,0.032319,0.023836,0.869521,0.017680,0.039194
NC_078570.1,1009,eukarya,0.12976080179214478,0.030578,0.031443,0.724433,0.025093,0.020336,0.168117
NC_078572.1,1048,archaea,0.7298067808151245,0.041616,0.082799,0.058494,0.645397,0.040477,0.131217
NC_078574.1,1367,virus,0.987034261226654,0.022420,0.225285,0.042435,0.027410,0.028287,0.654163
NC_078577.1,1140,virus,0.996005117893219,0.015202,0.077922,0.032740,0.016696,0.016944,0.840495
NC_078578.1,1028,eukarya,0.9932083487510681,0.160776,0.050898,0.366881,0.268199,0.026645,0.126600
NC_078580.1,1319,eukarya,0.9997579455375671,0.016533,0.028578,0.854773,0.018537,0.017781,0.063797
NC_078581.1,1189,virus,0.9982523322105408,0.012994,0.065894,0.029358,0.014914,0.017080,0.859759
NC_078586.1,1588,virus,0.9995197057723999,0.029014,0.016626,0.051444,0.016643,0.011825,0.874447
NC_078587.1,1480,eukarya,0.998346209526062,0.026543,0.022595,0.680912,0.030895,0.032181,0.206875
NC_078588.1,1961,virus,0.99892657995224,0.009883,0.010263,0.014060,0.011664,0.011642,0.942488
NC_078596.1,1596,virus,0.9954231381416321,0.016821,0.013189,0.017414,0.013457,0.010025,0.929095
NC_078598.1,1941,virus,0.9981871247291565,0.012568,0.013958,0.014056,0.013393,0.011225,0.934800
NC_078601.1,1480,virus,0.9953234791755676,0.015384,0.020172,0.028661,0.016295,0.016562,0.902925
NC_078602.1,1694,virus,0.9977120161056519,0.011850,0.014875,0.018609,0.013222,0.011033,0.930411
NC_078603.1,1205,virus,0.9903942942619324,0.022113,0.017171,0.105935,0.021315,0.025203,0.808263
NC_078605.1,1980,virus,0.9992523789405823,0.024704,0.020273,0.103397,0.022674,0.025205,0.803747
NC_078606.1,1022,archaea,0.9998688697814941,0.313330,0.052038,0.176157,0.318578,0.030115,0.109783
NC_078612.1,1496,virus,0.9976645708084106,0.034276,0.027259,0.265325,0.066237,0.027599,0.579304
NC_078614.1,1040,virus,0.9999945163726807,0.034623,0.193173,0.031765,0.321003,0.046400,0.373036
NC_078616.1,1970,virus,0.9837580323219299,0.017247,0.017144,0.033854,0.016412,0.020844,0.894499
NC_078617.1,1618,virus,0.9980713725090027,0.013070,0.016536,0.016907,0.013752,0.015389,0.924345
NC_078621.1,1387,virus,0.9993717074394226,0.029729,0.028966,0.357927,0.028858,0.037152,0.517368
NC_078629.1,1458,virus,0.9997604489326477,0.025683,0.089754,0.038521,0.130978,0.023167,0.691896
NC_078632.1,1695,virus,0.9999159574508667,0.022246,0.062161,0.067662,0.026249,0.026629,0.795054
NC_078633.1,1168,virus,0.9977777600288391,0.015878,0.015373,0.051882,0.017000,0.021379,0.878487
NC_078636.1,1726,virus,0.9995591044425964,0.009249,0.013240,0.017897,0.010442,0.012484,0.936688
NC_078637.1,1091,virus,0.9979864358901978,0.028320,0.023270,0.197468,0.026954,0.026951,0.697037
NC_078640.1,1613,virus,0.9994056224822998,0.023138,0.021735,0.131788,0.025547,0.024225,0.773567
NC_078646.1,1710,virus,0.999471127986908,0.027309,0.045512,0.110201,0.154671,0.038795,0.623511
NC_078652.1,1635,virus,0.9966918230056763,0.012079,0.014976,0.014292,0.011141,0.011689,0.935823
NC_078653.1,1984,virus,0.9996684789657593,0.030542,0.034802,0.214190,0.027276,0.030250,0.662940
NC_078654.1,1542,virus,0.9947591423988342,0.012146,0.011623,0.026872,0.009794,0.015494,0.924071
NC_078663.1,1390,phage,0.9995237588882446,0.055008,0.410350,0.103842,0.058924,0.048149,0.323726
NC_078664.1,1707,phage,0.9998795986175537,0.017118,0.850595,0.017844,0.020315,0.021673,0.072454
NC_078666.1,1154,eukarya,0.9981704950332642,0.031974,0.258453,0.377271,0.034163,0.038246,0.259893
NC_078668.1,1303,phage,0.9999340772628784,0.278359,0.494107,0.043118,0.079209,0.049724,0.055483
NC_078669.1,1215,virus,0.9987208247184753,0.032141,0.174859,0.052548,0.075522,0.029885,0.635045
NC_078675.1,1533,virus,0.9999825954437256,0.057266,0.144727,0.205046,0.207961,0.048980,0.336020
NC_078677.1,1825,virus,0.9999247789382935,0.031464,0.194077,0.034193,0.294215,0.076000,0.370051
NC_078678.1,1525,phage,0.9999204874038696,0.041173,0.500179,0.063637,0.113634,0.041722,0.239656
NC_078680.1,1179,archaea,0.9995771050453186,0.113901,0.300267,0.079425,0.311591,0.079080,0.115736
NC_078728.1,1741,virus,0.9983886480331421,0.218005,0.056214,0.058611,0.052233,0.067535,0.547401
NC_078729.1,1622,eukarya,0.9997128844261169,0.025795,0.047445,0.431480,0.032187,0.051079,0.412014
NC_078769.1,1561,phage,0.9998377561569214,0.070123,0.704029,0.030553,0.035791,0.042412,0.117093
NC_078770.1,1662,virus,0.9997095465660095,0.039325,0.032238,0.121570,0.046084,0.024583,0.736200
NC_078772.1,1009,eukarya,0.9977426528930664,0.133049,0.124597,0.504849,0.094139,0.046252,0.097114
NC_078843.1,1749,virus,0.9996864795684814,0.076740,0.038488,0.075237,0.029682,0.026281,0.753571
NC_078846.1,1587,phage,0.9999074935913086,0.033828,0.337311,0.154576,0.098520,0.039818,0.335946
NC_078849.1,1324,virus,0.9998990297317505,0.024960,0.084260,0.040037,0.031449,0.034756,0.784538
NC_078850.1,1557,virus,0.9977806210517883,0.051045,0.070239,0.249362,0.106274,0.027496,0.495583
NC_078853.1,1338,archaea,0.9999033212661743,0.023001,0.186558,0.106056,0.479151,0.031784,0.173451
NC_078854.1,1411,archaea,0.9999896287918091,0.025904,0.079916,0.272378,0.322922,0.032799,0.266081
NC_078855.1,1030,virus,0.9996165037155151,0.021457,0.101938,0.060279,0.059072,0.026689,0.730565
NC_078856.1,1197,eukarya,0.9994439482688904,0.028741,0.161347,0.507277,0.032526,0.025651,0.244458
NC_078857.1,1939,virus,0.9959391355514526,0.019921,0.034082,0.092285,0.025640,0.026501,0.801571
NC_078866.1,1617,phage,0.9997368454933167,0.026057,0.781274,0.019684,0.042023,0.023261,0.107701
NC_078869.1,1504,virus,0.999739944934845,0.014466,0.024990,0.026412,0.022536,0.015690,0.895905
NC_078871.1,1932,bacteria,0.9999690055847168,0.271188,0.192769,0.128534,0.229849,0.095367,0.082293
NC_078874.1,1846,virus,0.9998737573623657,0.037616,0.290131,0.054325,0.054751,0.052828,0.510349
NC_078884.1,1010,eukarya,0.9997617602348328,0.035227,0.035522,0.465831,0.334960,0.020004,0.108455
NC_078888.1,1076,eukarya,0.9999170303344727,0.020083,0.032513,0.789192,0.093906,0.025503,0.038803
NC_078891.1,1159,archaea,0.894583523273468,0.030959,0.030624,0.049532,0.462102,0.019746,0.407037
NC_078899.1,1065,phage,0.9998247027397156,0.144102,0.317344,0.085734,0.312355,0.059077,0.081387
NC_078905.1,1230,archaea,0.9997428059577942,0.011454,0.026204,0.017207,0.913225,0.017377,0.014532
NC_078913.1,1316,virus,0.9936188459396362,0.027448,0.217315,0.333344,0.048557,0.022994,0.350341
NC_078919.1,1117,archaea,0.9995843768119812,0.054370,0.200912,0.086856,0.396758,0.050858,0.210245
NC_078925.1,1174,virus,0.9946183562278748,0.010696,0.012172,0.014578,0.012297,0.009052,0.941206
NC_078928.1,1078,eukarya,0.9998522996902466,0.022489,0.020878,0.839448,0.050163,0.014749,0.052273
NC_078930.1,1002,bacteria,0.9957757592201233,0.275759,0.062723,0.130020,0.185026,0.080497,0.265975
NC_078936.1,1068,eukarya,0.9813756942749023,0.033595,0.021939,0.746703,0.105007,0.018694,0.074062
NC_078939.1,1130,virus,0.9990891218185425,0.032987,0.123726,0.068663,0.101567,0.064621,0.608436
NC_078947.1,1111,archaea,0.9987936019897461,0.033153,0.131333,0.032256,0.711569,0.033776,0.057913
NC_078950.1,1133,virus,0.963982105255127,0.046352,0.029845,0.265393,0.067498,0.024270,0.566642
NC_078957.1,1255,archaea,0.9773260951042175,0.060759,0.037432,0.091786,0.497717,0.033143,0.279164
NC_078959.1,1044,archaea,0.9982629418373108,0.057471,0.218035,0.051616,0.418899,0.039407,0.214572
NC_078964.1,1400,eukarya,0.9997828602790833,0.017929,0.061327,0.817000,0.024253,0.018601,0.060889
NC_078967.1,1020,phage,0.9998626708984375,0.047638,0.795775,0.020663,0.047594,0.053512,0.034818
NC_078969.1,1101,virus,0.9998569488525391,0.239859,0.183952,0.080828,0.161394,0.045981,0.287986
NC_078972.1,1902,virus,0.998993456363678,0.025422,0.029394,0.064037,0.036042,0.025776,0.819329
NC_078979.1,1036,virus,0.9987471103668213,0.045598,0.046923,0.107130,0.189376,0.033609,0.577364
NC_078980.1,1166,virus,0.9987314343452454,0.132949,0.100431,0.162175,0.059350,0.075110,0.469985
NC_078985.1,1163,phage,0.9999370574951172,0.091468,0.559157,0.036367,0.057796,0.035054,0.220158
NC_078986.1,1645,virus,0.9993042945861816,0.040103,0.024282,0.039127,0.027172,0.016529,0.852787
NC_078988.1,1529,virus,0.9997484087944031,0.009577,0.016628,0.012910,0.009541,0.012055,0.939289
NC_078993.1,1510,bacteria,0.9988903403282166,0.383479,0.095612,0.076254,0.051298,0.027565,0.365792
NC_078995.1,1793,eukarya,0.9901572465896606,0.028544,0.031789,0.670460,0.055780,0.025401,0.188026
NC_078998.1,1512,virus,0.9956067204475403,0.024751,0.012069,0.015013,0.011152,0.009407,0.927608
NC_079002.1,1881,virus,0.9991080164909363,0.069498,0.179904,0.133084,0.255626,0.035431,0.326456
NC_079012.1,1771,virus,0.9923533797264099,0.013522,0.017637,0.028390,0.017244,0.015179,0.908028
NC_079014.1,1053,virus,0.9984574317932129,0.048323,0.063551,0.271965,0.242784,0.031808,0.341569
NC_079019.1,1246,bacteria,0.9999982118606567,0.851181,0.052194,0.021696,0.027543,0.022816,0.024570
NC_079025.1,1953,virus,0.9986352324485779,0.011986,0.024518,0.027451,0.015547,0.015972,0.904527
NC_079030.1,1129,archaea,0.999950647354126,0.017444,0.062811,0.039766,0.815141,0.042834,0.022004
NC_079035.1,1023,archaea,0.9991412162780762,0.025245,0.058014,0.068189,0.424450,0.036019,0.388084
NC_079059.1,1765,eukarya,0.9997161030769348,0.021285,0.023862,0.818850,0.031962,0.024397,0.079644
NC_079062.1,1943,virus,0.9999865293502808,0.045591,0.050979,0.037478,0.093325,0.029342,0.743285
NC_079063.1,1479,virus,0.9998679161071777,0.011732,0.016715,0.035272,0.016153,0.017884,0.902244
NC_079065.1,1518,archaea,0.9999405145645142,0.034808,0.065654,0.025486,0.782988,0.022397,0.068667
NC_079066.1,1576,eukarya,0.9999673366546631,0.026728,0.056065,0.579331,0.040655,0.023635,0.273586
NC_079073.1,1447,archaea,0.9999285936355591,0.022164,0.392020,0.030879,0.482896,0.028726,0.043313
NC_079075.1,1739,eukarya,0.9999347925186157,0.031417,0.094898,0.401000,0.037746,0.037430,0.397508
